attack_type,target_system,outcome,timestamp,attacker_ip,target_ip,data_compromised_GB,attack_duration_min,security_tools_used,user_role,location,attack_severity,industry,response_time_min,mitigation_method
Ransomware,Database,Failure,2024-02-04 08:55:40.460111,153.92.168.108,207.11.145.215,92.39,200,MFA,Admin,France,10,Government,89,Quarantine
DDoS,User Account,Success,2024-04-07 19:50:31.460117,34.238.70.173,222.192.147.255,26.86,227,WAF,External User,Russia,7,Government,126,Reset Credentials
Ransomware,Network Switch,Failure,2024-06-02 15:17:53.460122,44.81.190.166,121.154.129.155,65.91,14,IDS,Admin,Brazil,3,Manufacturing,160,Patch
Zero-Day Exploit,User Account,Success,2024-08-11 03:25:07.460127,63.107.109.141,107.72.161.177,94.43,106,SIEM,Employee,France,2,Retail,134,Block IP
SQL Injection,Email Server,Failure,2024-04-28 01:44:18.460133,220.154.58.219,46.199.254.146,82.85,263,WAF,External User,Germany,5,Education,136,Quarantine
Brute Force,Database,Failure,2024-07-29 18:30:24.460138,14.201.149.187,122.85.23.115,34.62,236,VPN,Contractor,UK,4,Education,102,Patch
Malware,Database,Failure,2024-04-10 18:11:01.460144,82.18.231.120,29.61.56.158,80.95,86,IDS,Contractor,France,2,Education,93,Quarantine
DDoS,API,Failure,2024-02-17 11:38:04.460160,245.179.243.44,15.205.174.162,27.77,292,SIEM,Contractor,UK,10,Energy,94,Containment
Ransomware,User Account,Failure,2024-05-08 08:49:06.460166,139.16.92.151,57.223.80.92,65.45,170,VPN,External User,Russia,1,Manufacturing,152,Quarantine
Brute Force,Network Switch,Failure,2024-08-07 10:06:09.460171,244.26.27.6,4.136.202.1,95.15,66,Antivirus,Admin,Canada,4,Education,116,Containment
SQL Injection,User Account,Success,2024-08-15 11:46:53.460176,231.248.22.183,150.30.28.224,78.3,249,IDS,Admin,France,3,Retail,49,Reset Credentials
Brute Force,Web Server,Success,2024-01-01 07:40:50.460180,152.204.96.7,97.74.109.51,90.81,30,WAF,Contractor,Germany,4,Education,106,Reset Credentials
Brute Force,API,Success,2024-02-01 16:12:17.460186,209.165.144.44,125.189.244.53,61.17,97,Endpoint Detection,Admin,Australia,3,Finance,159,Quarantine
SQL Injection,Cloud Service,Failure,2023-09-24 12:23:31.460191,203.245.54.126,135.218.34.108,6.81,235,VPN,External User,USA,3,Energy,109,Block IP
Ransomware,Email Server,Success,2024-03-12 20:59:51.460196,47.11.220.28,96.7.250.218,6.42,297,Endpoint Detection,Admin,China,2,Retail,142,Patch
Zero-Day Exploit,Cloud Service,Success,2024-09-03 10:39:50.460201,8.63.162.239,185.28.202.225,60.19,64,VPN,Contractor,USA,5,Manufacturing,151,Quarantine
Brute Force,Web Server,Failure,2024-05-11 18:34:47.460206,179.252.121.151,10.216.108.13,95.11,253,Antivirus,External User,France,6,Healthcare,105,Reset Credentials
Malware,Network Switch,Failure,2024-07-29 03:17:03.460212,33.31.179.3,76.104.140.172,40.73,295,Firewall,Admin,India,9,Finance,71,Reset Credentials
Brute Force,Web Server,Success,2024-04-09 04:33:45.460217,71.26.145.172,237.195.74.48,61.4,27,WAF,Contractor,China,9,Energy,80,Reset Credentials
Phishing,Database,Success,2024-04-19 06:29:52.460222,137.66.146.58,175.155.56.90,87.54,97,WAF,Employee,Brazil,5,Education,140,Containment
DDoS,User Account,Success,2024-01-04 02:37:58.460228,18.198.84.124,39.111.54.128,19.4,275,IDS,Employee,Australia,8,Healthcare,93,Block IP
Cross-Site Scripting,API,Failure,2024-08-08 01:17:23.460233,161.45.206.83,135.221.233.135,5.23,241,IDS,Employee,China,10,Finance,47,Reset Credentials
Ransomware,Network Switch,Failure,2024-05-19 13:22:09.460239,155.225.146.181,174.223.102.87,4.04,281,Endpoint Detection,Employee,UK,2,Healthcare,31,Containment
Brute Force,Email Server,Success,2024-07-03 23:44:59.460244,139.238.131.24,146.172.130.191,5.12,150,Antivirus,External User,Brazil,10,Healthcare,63,Patch
Ransomware,Network Switch,Failure,2024-02-07 19:54:04.460249,103.226.200.168,192.70.42.83,47.47,114,SIEM,Admin,Canada,6,Education,6,Containment
Malware,User Account,Success,2024-01-22 12:30:29.460254,186.35.94.18,143.125.15.155,56.71,136,Endpoint Detection,Employee,Australia,2,Retail,38,Containment
Ransomware,Cloud Service,Failure,2024-06-19 16:36:10.460260,232.130.179.45,4.220.112.95,26.9,95,Endpoint Detection,External User,France,3,Manufacturing,97,Containment
Brute Force,Cloud Service,Failure,2023-10-22 05:02:38.460265,26.102.209.47,147.234.127.164,64.65,94,SIEM,Employee,China,5,Education,119,Quarantine
DDoS,User Account,Success,2024-04-27 06:10:49.460270,111.29.41.229,97.25.150.40,13.45,109,WAF,Admin,Russia,4,Retail,81,Block IP
Brute Force,API,Failure,2023-11-22 11:54:33.460276,234.68.163.188,107.37.250.236,68.34,8,SIEM,External User,Canada,8,Energy,92,Block IP
Brute Force,Web Server,Success,2024-03-23 00:44:37.460282,253.187.224.129,131.145.165.116,43.84,131,MFA,Admin,France,10,Healthcare,63,Patch
Brute Force,Email Server,Failure,2024-06-05 22:11:49.460287,129.188.216.226,163.212.34.117,81.85,203,WAF,External User,Russia,8,Manufacturing,58,Quarantine
Phishing,IoT Device,Failure,2024-07-25 11:22:34.460293,170.114.39.82,5.64.15.99,29.05,254,IDS,Admin,USA,6,Finance,108,Quarantine
Cross-Site Scripting,Web Server,Failure,2024-07-04 19:31:26.460298,124.207.196.1,97.0.37.211,97.56,287,Firewall,Employee,Brazil,5,Finance,138,Reset Credentials
Cross-Site Scripting,User Account,Failure,2024-06-04 15:23:59.460303,166.4.199.252,185.185.61.129,38.98,207,Endpoint Detection,Contractor,UK,2,Retail,120,Containment
Malware,IoT Device,Failure,2024-03-14 10:54:09.460310,98.68.82.82,134.208.125.90,14.19,247,SIEM,Employee,Brazil,4,Healthcare,176,Quarantine
Brute Force,Network Switch,Success,2024-03-04 07:08:55.460316,251.178.98.8,231.25.44.88,86.24,117,Antivirus,Employee,Russia,10,Technology,178,Patch
Cross-Site Scripting,Email Server,Failure,2024-06-24 21:04:21.460322,65.24.203.35,254.175.135.61,91.2,124,VPN,Employee,USA,10,Healthcare,88,Block IP
Ransomware,Web Server,Failure,2024-07-17 23:16:52.460327,122.43.239.224,204.114.5.178,87.42,234,Firewall,External User,UK,4,Government,123,Quarantine
Zero-Day Exploit,Email Server,Failure,2024-03-12 02:38:20.460333,122.216.90.249,76.161.13.109,31.14,194,IDS,External User,India,7,Technology,83,Quarantine
DDoS,API,Success,2024-08-04 05:20:45.460339,156.43.26.229,163.23.175.151,85.49,4,VPN,External User,Australia,6,Finance,42,Patch
Phishing,API,Failure,2024-01-20 11:16:10.460344,132.206.64.142,43.46.38.16,24.78,161,WAF,Employee,Germany,1,Education,14,Block IP
DDoS,Web Server,Failure,2023-11-12 19:57:52.460349,93.97.120.210,123.59.223.45,83.04,293,MFA,Employee,USA,2,Manufacturing,130,Block IP
DDoS,Email Server,Failure,2023-11-15 08:30:14.460355,91.14.52.160,39.237.250.2,9.21,290,IDS,Admin,Brazil,10,Manufacturing,34,Containment
Cross-Site Scripting,Web Server,Success,2023-09-09 03:10:46.460360,240.83.202.99,220.103.7.223,44.28,296,Endpoint Detection,Employee,India,5,Retail,8,Block IP
Cross-Site Scripting,Email Server,Success,2024-01-24 09:50:19.460366,164.13.105.24,131.220.196.61,43.31,203,Antivirus,Admin,Australia,1,Healthcare,155,Quarantine
Zero-Day Exploit,Web Server,Success,2024-03-11 17:56:46.460371,245.196.31.153,188.46.109.89,27.26,14,IDS,Admin,China,1,Finance,86,Quarantine
Cross-Site Scripting,Web Server,Failure,2023-11-06 08:49:42.460377,49.117.204.242,157.186.214.108,66.01,136,WAF,External User,Canada,6,Retail,45,Quarantine
Phishing,User Account,Success,2024-05-20 04:43:53.460382,92.9.212.62,201.106.143.112,89.05,142,WAF,Employee,Canada,9,Energy,6,Patch
Zero-Day Exploit,Database,Failure,2024-07-05 05:31:01.460388,214.191.197.87,166.44.15.209,62.48,59,SIEM,Contractor,China,5,Technology,149,Patch
Zero-Day Exploit,Web Server,Failure,2024-07-03 03:56:32.460393,188.111.223.228,209.233.53.213,62.87,134,Endpoint Detection,Contractor,Germany,10,Manufacturing,111,Quarantine
DDoS,Network Switch,Success,2024-03-02 20:09:20.460398,98.180.228.148,222.110.253.127,3.59,46,Antivirus,Admin,China,5,Education,86,Containment
Cross-Site Scripting,User Account,Failure,2024-06-24 01:52:03.460404,111.71.82.205,31.125.48.8,90.63,185,Firewall,External User,Canada,8,Healthcare,10,Reset Credentials
Ransomware,Email Server,Success,2023-12-14 17:39:25.460409,188.167.185.176,53.110.240.240,74.14,122,Antivirus,External User,Australia,6,Education,134,Quarantine
DDoS,API,Success,2024-08-03 19:03:28.460414,54.74.147.233,247.202.118.5,14.44,10,Endpoint Detection,External User,China,7,Energy,69,Reset Credentials
SQL Injection,IoT Device,Success,2023-09-15 13:38:03.460420,92.131.141.207,12.27.121.199,9.09,134,MFA,Employee,Brazil,4,Retail,12,Quarantine
Ransomware,Cloud Service,Success,2024-07-24 02:08:23.460425,88.237.69.116,90.175.88.34,94.02,11,WAF,Admin,Russia,8,Manufacturing,127,Block IP
Malware,User Account,Success,2024-08-16 13:23:09.460431,171.35.18.64,132.162.217.205,61.75,285,Endpoint Detection,External User,Australia,7,Finance,156,Patch
Malware,Cloud Service,Success,2024-08-24 17:39:51.460436,153.187.242.16,67.207.71.101,87.39,143,IDS,Admin,Canada,5,Education,37,Reset Credentials
Ransomware,Network Switch,Failure,2024-08-01 18:26:45.460441,203.116.104.54,75.218.151.239,82.5,225,VPN,Employee,China,10,Retail,47,Reset Credentials
Brute Force,IoT Device,Failure,2024-02-13 17:08:29.460447,209.109.71.237,56.136.159.36,53.17,160,VPN,External User,India,3,Manufacturing,125,Block IP
Brute Force,Cloud Service,Failure,2024-03-29 23:33:52.460452,157.99.217.2,48.45.197.204,3.9,287,MFA,Employee,India,4,Education,18,Reset Credentials
Phishing,User Account,Failure,2023-11-30 21:39:36.460457,224.110.255.194,176.109.126.109,42.94,52,MFA,Employee,USA,4,Education,46,Reset Credentials
Cross-Site Scripting,Database,Failure,2024-09-05 16:10:51.460463,221.114.205.198,70.123.7.86,37.28,177,WAF,Admin,India,2,Technology,51,Patch
SQL Injection,User Account,Failure,2024-05-12 01:51:07.460468,115.51.89.147,89.179.173.217,50.06,280,SIEM,External User,Germany,3,Finance,50,Containment
Ransomware,Cloud Service,Failure,2024-04-01 20:50:07.460474,158.250.4.83,182.175.252.182,22.27,49,WAF,Employee,Canada,8,Energy,67,Block IP
DDoS,Web Server,Success,2023-12-17 02:07:43.460479,217.170.152.209,106.8.228.125,50.04,174,MFA,Contractor,USA,9,Healthcare,93,Containment
Brute Force,IoT Device,Failure,2023-09-26 14:01:01.460485,80.230.55.185,202.24.163.57,80.43,41,VPN,Contractor,Russia,7,Retail,139,Containment
Zero-Day Exploit,Email Server,Failure,2024-08-27 00:14:08.460491,206.168.36.25,8.241.158.70,58.27,13,VPN,Employee,Australia,8,Finance,128,Block IP
SQL Injection,IoT Device,Failure,2023-11-07 16:05:34.460497,232.233.12.41,15.109.0.177,95.58,41,Antivirus,External User,USA,2,Education,141,Block IP
SQL Injection,Network Switch,Success,2024-07-15 05:13:29.460503,148.31.241.252,91.230.223.242,61.85,17,VPN,Employee,Brazil,1,Retail,6,Block IP
Ransomware,Email Server,Success,2023-11-15 06:35:05.460508,156.30.226.113,75.233.163.97,21.97,279,Antivirus,Contractor,India,2,Energy,90,Quarantine
DDoS,Email Server,Failure,2024-02-03 23:58:00.460514,202.45.168.177,171.46.130.23,23.78,268,Endpoint Detection,Contractor,Australia,7,Healthcare,26,Quarantine
SQL Injection,Email Server,Success,2024-05-10 11:26:27.460519,167.204.151.206,250.244.115.162,40.15,288,IDS,Contractor,Russia,9,Healthcare,67,Block IP
Brute Force,Database,Success,2024-01-17 08:55:06.460525,254.124.160.78,134.138.205.18,9.27,39,Firewall,Admin,China,1,Retail,32,Reset Credentials
Malware,Database,Success,2024-05-24 14:07:47.460530,198.211.180.122,212.86.171.11,89.06,82,WAF,Contractor,Australia,8,Government,62,Containment
Zero-Day Exploit,Web Server,Failure,2023-12-13 18:18:40.460536,169.66.235.227,131.43.177.82,96.96,42,IDS,External User,India,2,Manufacturing,4,Patch
SQL Injection,IoT Device,Success,2024-08-28 09:43:06.460542,36.95.156.192,81.28.105.208,32.26,246,WAF,External User,USA,10,Government,51,Containment
SQL Injection,Network Switch,Failure,2024-08-09 13:52:26.460548,6.19.172.191,176.250.130.219,78.3,185,WAF,External User,France,5,Retail,46,Quarantine
Malware,User Account,Success,2024-06-05 07:13:19.460554,50.102.112.24,197.23.91.174,52.61,266,SIEM,Contractor,China,3,Finance,38,Reset Credentials
Phishing,API,Failure,2024-04-30 19:32:46.460559,58.102.135.131,197.142.28.182,31.93,188,SIEM,Admin,India,10,Manufacturing,28,Patch
Ransomware,Cloud Service,Failure,2023-10-01 15:22:10.460565,225.196.179.191,127.190.147.80,51.88,176,MFA,Contractor,France,9,Energy,71,Reset Credentials
Brute Force,Database,Failure,2023-10-24 11:40:01.460570,81.192.91.76,25.172.192.93,32.86,36,Firewall,Employee,China,5,Government,28,Patch
Cross-Site Scripting,User Account,Failure,2024-01-20 00:06:47.460575,116.218.92.50,17.47.192.202,71.53,45,WAF,Contractor,France,10,Education,104,Containment
Cross-Site Scripting,Database,Failure,2024-05-03 23:47:26.460581,208.183.158.58,142.249.193.45,66.88,220,VPN,External User,China,3,Education,12,Patch
Brute Force,Cloud Service,Success,2023-11-24 13:32:12.460586,251.12.238.145,100.26.214.150,5.8,293,Firewall,Employee,Germany,8,Retail,178,Quarantine
Ransomware,Web Server,Success,2023-12-10 01:00:29.460592,11.49.234.31,229.47.53.221,8.55,257,WAF,External User,Australia,2,Manufacturing,31,Containment
DDoS,Database,Failure,2024-04-15 14:45:34.460597,225.10.209.23,71.63.4.197,79.41,32,Endpoint Detection,Contractor,France,7,Finance,19,Quarantine
SQL Injection,Email Server,Failure,2024-07-07 12:36:59.460602,128.139.100.97,71.59.170.10,84.41,88,VPN,External User,Brazil,9,Government,61,Reset Credentials
DDoS,Email Server,Failure,2023-11-04 17:14:09.460608,153.110.233.204,70.8.146.3,65.66,95,VPN,External User,Russia,6,Manufacturing,1,Quarantine
Ransomware,Web Server,Failure,2023-09-10 08:01:45.460613,237.181.123.197,155.4.128.15,16.42,45,Firewall,Contractor,Germany,2,Energy,149,Patch
DDoS,IoT Device,Failure,2024-02-07 09:07:19.460619,226.213.13.2,132.134.65.34,25.25,272,Antivirus,Admin,India,6,Technology,33,Reset Credentials
Ransomware,Database,Failure,2024-07-14 14:08:29.460634,157.119.10.215,199.136.35.111,31.59,89,VPN,Contractor,USA,2,Retail,166,Block IP
Malware,User Account,Failure,2024-01-05 05:49:33.460640,72.211.97.180,155.87.8.234,81.28,237,MFA,Admin,Germany,2,Energy,26,Containment
Phishing,User Account,Failure,2023-11-15 05:37:04.460645,180.155.72.143,122.207.167.201,9.83,89,Firewall,Admin,UK,5,Government,123,Quarantine
Ransomware,Email Server,Failure,2024-06-12 00:15:34.460651,115.27.108.63,129.39.48.40,97.16,275,MFA,External User,Russia,9,Retail,92,Patch
Brute Force,Web Server,Success,2023-11-26 17:03:32.460656,252.235.116.178,229.38.11.2,67.0,147,Firewall,Employee,China,9,Technology,134,Reset Credentials
SQL Injection,Database,Success,2023-09-13 07:31:24.460662,235.139.103.226,4.189.174.110,61.29,91,IDS,Contractor,India,1,Energy,6,Patch
Malware,Email Server,Success,2023-09-18 05:21:03.460667,108.49.218.241,23.132.149.33,45.88,32,WAF,External User,Australia,7,Retail,159,Containment
DDoS,Cloud Service,Failure,2024-02-07 01:37:03.460673,64.22.17.240,74.208.129.71,26.1,135,MFA,Employee,France,10,Energy,9,Quarantine
Phishing,API,Success,2024-08-04 15:06:14.460678,252.4.249.192,209.143.253.130,82.48,166,VPN,Contractor,France,5,Retail,119,Containment
SQL Injection,Web Server,Success,2024-01-31 11:48:07.460684,204.96.168.185,221.178.81.235,22.86,143,Antivirus,Admin,France,6,Energy,12,Block IP
Ransomware,User Account,Success,2024-01-09 16:49:45.460689,5.47.86.79,28.150.71.151,7.86,9,SIEM,Admin,India,2,Healthcare,97,Containment
Malware,IoT Device,Failure,2023-12-28 05:49:16.460694,191.33.25.145,4.145.65.231,36.94,55,SIEM,Contractor,France,9,Technology,43,Containment
Malware,Cloud Service,Failure,2023-11-15 15:24:53.460700,14.51.15.183,209.0.144.11,14.64,258,SIEM,Admin,India,2,Education,108,Block IP
SQL Injection,Web Server,Success,2023-10-31 17:24:59.460705,121.151.67.151,213.234.249.140,42.43,118,Antivirus,Contractor,Brazil,5,Manufacturing,114,Quarantine
Brute Force,Network Switch,Success,2024-04-28 02:17:30.460711,169.152.87.6,114.92.98.64,46.05,263,WAF,Employee,China,6,Technology,127,Reset Credentials
DDoS,Cloud Service,Success,2024-04-04 08:40:16.460716,218.28.140.115,98.106.54.198,40.44,50,IDS,Employee,India,1,Finance,5,Block IP
DDoS,Database,Failure,2024-01-15 17:09:13.460722,101.246.245.89,60.90.169.169,65.16,108,Endpoint Detection,Admin,France,6,Manufacturing,117,Containment
Brute Force,Web Server,Success,2023-09-14 04:58:19.460727,246.84.147.21,169.146.242.232,6.49,92,WAF,External User,Russia,2,Retail,13,Block IP
Phishing,API,Failure,2024-04-21 04:57:16.460733,147.242.243.107,241.78.141.166,56.79,300,SIEM,Contractor,Australia,1,Technology,88,Patch
Brute Force,IoT Device,Success,2023-10-22 17:13:57.460738,91.140.21.167,131.12.15.90,69.44,273,MFA,Admin,France,6,Manufacturing,179,Containment
Cross-Site Scripting,Cloud Service,Failure,2024-01-19 05:03:48.460744,175.70.52.62,53.97.68.101,52.22,41,MFA,External User,Germany,2,Technology,42,Reset Credentials
Phishing,User Account,Failure,2024-03-24 07:06:30.460750,205.53.143.41,155.115.139.168,50.81,267,WAF,External User,India,6,Healthcare,58,Block IP
SQL Injection,Network Switch,Failure,2024-04-02 01:38:44.460755,244.183.180.176,214.117.114.223,4.81,177,Antivirus,Contractor,Canada,3,Healthcare,109,Containment
Zero-Day Exploit,API,Failure,2024-02-17 09:15:12.460760,5.104.220.34,232.254.96.226,3.63,73,Endpoint Detection,External User,Russia,10,Manufacturing,126,Quarantine
Brute Force,Web Server,Failure,2023-10-28 01:50:37.460766,110.81.203.220,127.70.112.137,4.95,118,VPN,Contractor,Australia,5,Manufacturing,169,Containment
Ransomware,API,Failure,2024-06-27 13:25:03.460771,36.97.213.134,50.165.15.116,12.71,31,SIEM,Employee,Russia,10,Manufacturing,174,Containment
DDoS,Database,Success,2024-03-01 04:55:10.460776,146.55.151.23,163.63.245.80,41.66,108,Antivirus,External User,Russia,4,Technology,36,Reset Credentials
Brute Force,User Account,Failure,2024-03-17 22:24:58.460782,172.39.51.57,3.17.2.203,12.6,171,MFA,Admin,UK,1,Healthcare,143,Containment
Cross-Site Scripting,IoT Device,Success,2024-08-28 20:53:43.460787,150.240.69.101,200.52.14.252,34.36,16,MFA,Admin,France,10,Education,50,Block IP
SQL Injection,IoT Device,Success,2024-07-29 20:39:55.460793,101.72.210.135,39.100.57.7,61.35,152,IDS,Employee,Australia,8,Government,41,Containment
Cross-Site Scripting,Database,Failure,2024-03-22 17:37:25.460798,72.226.121.62,64.205.251.116,76.22,280,Endpoint Detection,Admin,Germany,7,Manufacturing,152,Containment
Ransomware,User Account,Success,2024-07-30 14:25:17.460804,232.41.171.189,64.7.228.119,87.9,265,MFA,Contractor,Australia,7,Retail,140,Reset Credentials
Phishing,Web Server,Failure,2024-07-11 22:21:44.460809,189.117.211.255,209.99.224.185,69.04,90,IDS,Admin,Australia,6,Energy,116,Block IP
Cross-Site Scripting,Cloud Service,Success,2023-11-25 08:50:05.460815,30.5.131.62,76.213.156.127,83.83,251,VPN,Contractor,Russia,2,Education,6,Block IP
Zero-Day Exploit,Cloud Service,Failure,2023-12-18 19:08:14.460820,178.242.33.252,125.60.80.182,2.0,152,SIEM,Admin,UK,6,Finance,47,Patch
Brute Force,Email Server,Success,2023-12-12 22:42:19.460826,11.37.99.176,144.182.246.81,68.67,256,VPN,Contractor,China,7,Government,177,Block IP
Ransomware,Web Server,Failure,2023-11-14 22:32:06.460831,196.135.10.252,132.185.4.166,5.64,159,Antivirus,Contractor,Germany,9,Manufacturing,148,Containment
Brute Force,Web Server,Failure,2024-01-22 04:36:41.460839,171.121.114.198,60.234.233.151,14.67,263,Endpoint Detection,Contractor,Canada,9,Retail,126,Containment
Zero-Day Exploit,Email Server,Success,2023-12-06 14:37:26.460845,111.122.90.56,203.62.115.7,34.54,59,WAF,External User,France,6,Finance,81,Quarantine
Ransomware,Cloud Service,Failure,2024-05-17 11:09:21.460850,104.93.175.43,121.199.46.20,81.25,46,SIEM,Contractor,Canada,7,Finance,81,Reset Credentials
Malware,User Account,Success,2024-04-07 23:58:14.460856,113.199.74.187,96.193.17.139,37.86,256,IDS,Employee,Russia,4,Government,133,Containment
DDoS,Cloud Service,Failure,2023-09-16 14:00:17.460862,220.132.35.192,209.215.117.104,0.97,211,Firewall,Employee,Russia,4,Manufacturing,131,Quarantine
Ransomware,Network Switch,Success,2024-08-19 16:25:17.460867,213.191.118.184,181.187.209.144,75.56,290,Endpoint Detection,External User,Australia,5,Government,29,Containment
Zero-Day Exploit,User Account,Success,2024-08-01 03:33:24.460878,169.193.245.10,108.48.191.92,70.57,9,IDS,Contractor,China,5,Manufacturing,89,Containment
Ransomware,Network Switch,Failure,2023-12-01 16:42:32.460884,240.147.68.217,83.74.22.214,65.44,80,VPN,Contractor,Australia,4,Government,33,Block IP
Malware,User Account,Failure,2023-11-26 13:48:31.460890,178.105.1.93,120.178.4.6,39.46,183,Endpoint Detection,External User,Australia,8,Government,156,Patch
Ransomware,Email Server,Success,2023-09-15 01:21:37.460895,52.176.82.148,189.177.49.151,5.87,162,Antivirus,Admin,Russia,3,Government,140,Quarantine
DDoS,API,Success,2024-05-22 22:59:46.460901,155.37.202.163,17.15.61.225,90.77,165,Antivirus,External User,Russia,4,Education,33,Block IP
Ransomware,Cloud Service,Failure,2024-05-22 07:07:06.460907,43.244.20.244,212.119.64.241,25.31,78,Antivirus,Admin,India,9,Education,168,Quarantine
Ransomware,IoT Device,Success,2023-11-06 02:28:25.460912,8.200.168.29,132.210.255.95,23.44,202,MFA,External User,UK,7,Government,79,Containment
Brute Force,Email Server,Success,2024-01-19 23:29:16.460918,148.237.111.25,70.202.168.94,82.96,292,VPN,Contractor,Brazil,7,Government,59,Patch
Ransomware,Network Switch,Failure,2024-05-12 07:37:38.460923,40.41.144.4,226.168.233.194,7.77,290,SIEM,Admin,India,6,Education,29,Patch
Malware,User Account,Failure,2024-06-19 04:29:15.460928,5.151.8.154,135.33.194.6,77.74,129,Antivirus,Employee,India,2,Manufacturing,142,Containment
Brute Force,Network Switch,Success,2024-08-01 00:38:53.460933,237.243.85.189,143.8.116.13,84.67,297,IDS,Employee,China,9,Healthcare,139,Block IP
Ransomware,Web Server,Failure,2024-04-30 17:07:33.460938,212.159.31.172,88.238.57.99,71.15,95,WAF,External User,Germany,2,Government,137,Containment
Ransomware,Web Server,Success,2024-03-25 21:16:02.460943,40.235.97.176,225.80.105.252,56.84,190,WAF,Employee,UK,5,Manufacturing,62,Reset Credentials
Phishing,Database,Success,2023-11-11 17:11:29.460947,85.197.1.166,227.148.55.17,53.46,51,IDS,Contractor,France,8,Retail,45,Containment
DDoS,IoT Device,Success,2024-06-10 14:25:46.460952,247.234.168.155,46.99.68.99,63.52,68,Antivirus,Contractor,Brazil,9,Technology,61,Patch
Phishing,User Account,Failure,2024-05-08 05:23:38.460957,94.135.150.25,241.219.113.190,13.89,114,Endpoint Detection,Admin,Australia,4,Healthcare,3,Patch
Cross-Site Scripting,Network Switch,Success,2024-05-24 16:34:40.460963,96.204.214.103,53.140.5.93,35.68,170,Antivirus,External User,China,7,Technology,55,Containment
Zero-Day Exploit,Cloud Service,Failure,2024-07-28 21:01:12.460967,40.157.255.25,60.175.32.112,74.77,242,Firewall,Contractor,China,4,Healthcare,118,Containment
Malware,User Account,Failure,2024-06-25 03:42:57.460972,2.98.81.6,185.62.195.104,89.66,217,SIEM,Contractor,Germany,4,Retail,84,Block IP
DDoS,Network Switch,Failure,2024-01-03 13:34:49.460978,9.11.167.1,34.22.48.149,45.46,160,VPN,Employee,China,2,Retail,63,Quarantine
Cross-Site Scripting,IoT Device,Failure,2024-05-23 23:44:13.460983,168.57.103.168,210.6.56.155,93.87,25,Firewall,External User,UK,9,Education,88,Containment
Brute Force,User Account,Success,2023-10-12 09:01:00.460988,138.183.182.139,118.190.88.221,76.66,100,WAF,Admin,Brazil,4,Healthcare,171,Quarantine
SQL Injection,IoT Device,Failure,2024-05-15 07:52:09.460994,200.24.206.230,152.219.93.218,53.45,103,Endpoint Detection,External User,Australia,2,Education,162,Containment
Brute Force,IoT Device,Success,2023-11-22 19:53:10.460999,23.138.97.57,56.123.130.217,85.25,116,MFA,External User,Russia,4,Education,4,Containment
Malware,Web Server,Success,2024-07-17 09:28:14.461005,175.120.115.181,163.219.97.7,43.21,88,Antivirus,External User,Australia,1,Healthcare,84,Reset Credentials
Zero-Day Exploit,Database,Failure,2024-04-08 07:23:19.461011,73.134.64.219,5.59.247.210,46.59,66,VPN,External User,Australia,8,Education,165,Patch
DDoS,Cloud Service,Success,2024-08-18 23:42:03.461016,113.43.22.149,167.121.64.192,84.73,39,MFA,Employee,Canada,6,Government,23,Reset Credentials
Ransomware,User Account,Success,2024-04-11 04:53:13.461021,54.223.37.92,249.79.204.232,13.22,106,Antivirus,Contractor,India,6,Energy,106,Patch
Zero-Day Exploit,User Account,Success,2024-07-23 21:31:59.461027,254.37.78.255,40.35.89.159,74.4,21,Endpoint Detection,Employee,Canada,4,Healthcare,44,Block IP
Cross-Site Scripting,Network Switch,Success,2023-11-10 02:09:29.461032,52.77.15.104,233.24.174.35,34.17,112,Antivirus,Contractor,Brazil,10,Healthcare,56,Quarantine
Phishing,Web Server,Success,2023-11-21 18:51:06.461038,98.198.224.68,172.85.249.136,85.39,56,WAF,Contractor,Australia,6,Education,22,Reset Credentials
Ransomware,Email Server,Failure,2024-04-29 18:37:52.461044,59.12.218.104,212.164.164.240,48.57,9,WAF,Admin,USA,5,Retail,20,Reset Credentials
Zero-Day Exploit,Email Server,Failure,2023-09-09 05:42:36.461049,54.120.26.204,26.105.55.167,35.98,86,SIEM,Admin,France,9,Manufacturing,147,Block IP
SQL Injection,API,Success,2023-09-11 06:50:54.461055,124.140.218.214,53.166.127.152,51.83,269,SIEM,Admin,India,7,Energy,74,Block IP
Ransomware,Database,Failure,2023-10-19 23:34:16.461060,25.129.255.157,170.94.187.225,71.46,20,IDS,External User,Russia,9,Government,22,Reset Credentials
SQL Injection,Web Server,Success,2024-08-20 13:55:20.461066,107.15.117.221,103.178.42.61,2.27,283,Antivirus,Contractor,Canada,3,Healthcare,115,Containment
Cross-Site Scripting,Email Server,Success,2024-06-08 10:01:49.461071,255.70.245.200,65.6.70.43,61.02,109,Antivirus,Contractor,France,1,Technology,93,Containment
Zero-Day Exploit,Cloud Service,Failure,2024-04-21 02:22:56.461077,110.236.2.149,44.160.61.243,21.79,54,Antivirus,Contractor,USA,3,Technology,82,Patch
Phishing,User Account,Failure,2024-02-19 11:02:35.461082,172.166.12.117,192.242.0.136,76.92,163,Firewall,Contractor,France,10,Manufacturing,19,Block IP
SQL Injection,IoT Device,Success,2023-09-30 10:47:50.461105,23.51.6.208,210.146.62.73,91.63,293,SIEM,Admin,Brazil,2,Education,76,Quarantine
